feature,vote_count
effective_irradiance,3
soiling_ratio,3
panel_age,3
age_squared,3
age_log,3
current,3
expected_degradation,3
irradiance_ratio,3
irradiance,3
humidity_temp_product,3
irradiance_squared,3
clear_sky_factor,3
voltage,2
humidity_temp_ratio,2
humidity,2
temp_irradiance_interaction,2
current_per_irradiance,2
power_output,2
temp_correction_factor,1
wind_speed,1
temp_differential_squared,1
temperature,1
wind_cooling_factor,1
voltage_per_irradiance,1
temp_differential,1
temp_deviation_stc,1
module_temperature,1
humidity_stress,1
power_density,1
maintenance_effectiveness,1
